term_id,term,df
1047,retain,1177
1048,risen,912
1049,sharp,1358
1050,joy,1354
1051,gather,1502
1052,sound,1575
1053,soldier,1164
1054,realli,1481
1055,greet,1083
1056,providenti,186
1058,inherit,828
1059,sterl,285
1060,glad,1382
1061,agre,1456
1062,middl,1468
1063,charleston,120
1064,brother,1456
1065,join,1474
1066,furnac,406
1067,toil,933
1068,week,1487
1069,utterli,1062
1070,earnestli,888
1071,wholesom,601
1072,literari,715
1073,event,1402
1074,singular,833
1075,equip,717
1076,indiffer,1077
1077,calcul,1051
1078,descend,1299
1079,allow,1549
1080,wear,1387
1081,path,1338
1083,pathway,324
1084,normal,587
1085,shape,1427
1087,later,1490
1088,contemporari,504
1089,acut,679
1090,quot,917
1091,speedili,627
1092,destitut,460
1093,food,1344
1094,rag,927
1095,brethren,528
1096,contain,1469
1097,languag,1358
1098,manifest,916
1099,intellig,1264
1100,hitherto,935
1101,easi,1533
1103,disappoint,1245
1104,adapt,835
1105,maintain,1155
1106,squalid,196
1107,relianc,348
1108,tradit,833
1109,readili,1052
1110,throughout,1186
1111,lower,1484
1112,stimul,661
1113,miller,348
1114,howard,256
1115,programm,321
1116,sick,1300
1117,enlighten,706
1118,signific,865
1119,branch,1317
1120,classic,666
1121,root,1199
1122,major,1067
1123,extravag,717
1124,greek,828
1125,intend,1453
1126,influenti,329
1127,ambiti,583
1128,rank,1241
1129,sympathet,682
1130,brief,1196
1131,happili,889
1132,unless,1475
1133,send,1534
1134,arrang,1453
1135,brace,617
1136,crandal,11
1137,laura,113
1138,green,1427
1139,theori,963
1140,blood,1450
1141,parent,1163
1142,amen,489
1143,region,997
1144,jubile,116
1145,faith,1466
1146,railway,635
1147,site,500
1148,worker,627
1149,convinc,1247
1150,vacat,475
1151,afford,1305
1153,foster,578
1154,acquisit,390
1155,helper,252
1156,anxieti,1048
1157,outrag,743
1158,polici,710
1159,appal,544
1160,instructor,296
1161,voic,1501
1162,combin,1222
1163,appleton,77
1164,scienc,986
1165,shaler,9
1166,harvard,156
1167,undergo,550
1168,fond,1172
1169,attract,1349
1170,seat,1468
1171,centr,982
1172,deep,1550
1173,constitut,1077
1174,skin,1186
1175,scholar,679
1176,failur,1077
1177,crop,787
1178,debt,850
1179,brick,769
1180,mischiev,457
1181,pride,1277
1182,davidson,63
1184,stage,1231
1185,powel,102
1186,incap,688
1187,clean,1250
1188,weight,1326
1189,lift,1362
1190,clark,307
1191,agreement,667
1192,dillingham,13
1193,lownd,14
1194,boston,552
1195,divid,1330
1196,neighbourhood,548
1197,pick,1333
1198,welfar,604
1199,paid,1421
1200,applaus,552
1201,dairi,184
1202,distribut,1315
1203,biographi,318
1204,vo,226
1205,edg,1304
1206,deed,1085
1207,art,1415
1208,music,1312
1209,compos,1166
1210,oliv,637
1211,cromwel,205
1212,portrait,740
1213,frontispiec,327
1214,squar,1316
1215,reserv,1220
1216,newton,240
1217,grave,1392
1218,conceiv,1077
1219,liber,1007
1220,emigr,398
1221,pro,328
1222,surnam,219
1223,commonwealth,241
1224,avail,1215
1225,border,1051
1226,condemn,1002
1227,particular,1449
1228,romanc,786
1229,ii,1359
1230,iii,1317
1231,iv,1272
1232,collabor,111
1233,vi,1219
1234,vii,1135
1235,viii,1114
1236,ix,1053
1237,conflict,846
1238,drift,928
1239,embrac,1055
1240,sea,1469
1241,york,1111
1242,spoken,1340
1243,unusu,1157
1244,ventur,1247
1245,singl,1501
1246,forth,1482
1247,smith,740
1248,grievanc,390
1249,utilis,95
1250,rapidli,1208
1251,inconveni,653
1252,decad,368
1253,coloni,696
1254,separ,1431
1255,vividli,389
1256,keen,1097
1257,tom,603
1258,descript,1238
1259,everywher,1193
1260,meanwhil,980
1261,vivid,792
1262,outlin,960
1263,terribl,1319
1264,hewer,45
1265,drawer,572
1266,shore,1153
1267,coars,795
1268,garment,910
1269,sort,1487
1270,whip,907
1271,harder,793
1272,chain,1193
1273,minut,1493
1274,confess,1285
1275,argument,1100
1276,balanc,1096
1277,african,371
1278,extent,1172
1279,abil,979
1280,represent,591
1281,ancestri,193
1282,bought,1127
1283,liter,818
1284,impli,774
1285,hovel,179
1286,glass,1376
1287,floor,1299
1288,worst,1245
1289,inmat,422
1290,winter,1308
1291,heat,1274
1292,summer,1360
1293,needless,527
1294,sunshin,862
1295,sport,983
1296,happier,622
1297,dispens,657
1298,porter,594
1299,distant,1293
1300,road,1440
1301,dens,680
1302,imaginari,565
1303,confeder,296
1304,ear,1487
1305,chanc,1495
1306,repel,573
1307,punish,1138
1308,union,936
1309,justic,1201
1310,offici,1021
1311,simpli,1331
1312,legal,705
1313,meal,1132
1314,revel,921
1315,intensifi,324
1316,oftentim,139
1317,fear,1574
1318,suspend,797
1319,post,1410
1320,everyth,1434
1321,profess,1120
1322,nocturn,211
1323,congratul,799
1324,lincoln,351
1325,cruel,1104
1326,perform,1386
1327,protect,1382
1328,kindl,656
1329,fli,1412
1330,constitu,287
1331,mourn,989
1332,luxuri,1059
1333,anguish,608
1334,afflict,648
1335,touch,1562
1336,befriend,222
1337,belief,1133
1338,charg,1462
1339,enemi,1344
1340,aloof,417
1341,suffic,760
1342,treat,1441
1343,procur,885
1344,husband,1250
1345,strenuou,367
1346,play,1569
1347,pen,1106
1348,watch,1558
1349,glanc,1272
1350,trader,389
1351,mysteri,1337
1352,horror,1077
1353,record,1267
1354,pursuit,1030
1355,spite,1303
1356,dint,267
1357,dilig,611
1358,ahead,941
1359,primer,80
1360,eight,1434
1361,seldom,1118
1362,gold,1386
1363,republican,346
1364,madison,141
1365,outspoken,152
1366,nevertheless,1128
1367,episcop,207
1368,methodist,190
1369,henceforth,545
