Text#,Type,Issued,Title,Language,Authors,Subjects,LoCC,Bookshelves
66633,Text,2021-10-30,Lord Lister No. 0006: De dubbelganger van den bankdirecteur,nl,"Matull, Kurt, 1872-1920; Blankensee, Theo von, 1881-1928",Detective and mystery stories -- Periodicals; Dime novels -- Periodicals,PT,"Category: Crime, Thrillers and Mystery; Category: Novels"
66634,Text,2021-10-30,Guide to the Canyon Area,en,Yellowstone Library and Museum Association; United States. National Park Service,Grand Canyon of the Yellowstone (Wyo.) -- Guidebooks,F721,Category: Travel Writing; Category: How To ...; Category: Nature/Gardening/Animals
66635,Text,2021-10-31,"Chambers's Journal of Popular Literature, Science, and Art, Fifth Series, No. 49, Vol. I, December 6, 1884",en,Various,Periodicals,AP,Category: Journalism/Media/Writing; Category: Journals
66636,Text,2021-10-31,The Story of André Cornélis,en,"Bourget, Paul, 1852-1935; Monkshood, G. F., 1872- [Translator]",French fiction -- Translations into English,PQ,Category: Novels; Category: French Literature
66637,Text,2021-10-31,Honor of Thieves: A Novel,en,"Hyne, Charles John Cutcliffe Wright, 1866-1944","Sea stories; Ship captains -- Fiction; Adventure stories; Kettle, Owen (Fictitious character) -- Fiction",PR,Category: Adventure; Category: Novels; Category: British Literature
66638,Text,2021-10-31,"Ireland in Fiction: A Guide to Irish Novels, Tales, Romances, and Folk-lore",en,"Brown, Stephen J. M. (Stephen James Meredith), 1881-1962",English fiction -- Irish authors -- Bibliography; Ireland -- In literature -- Bibliography,Z,Category: Encyclopedias/Dictionaries/Reference; Category: Journalism/Media/Writing
66639,Text,2021-11-01,The World of Flying Saucers: A Scientific Examination of a Major Myth of the Space Age,en,"Menzel, Donald H. (Donald Howard), 1901-1976; Boyd, Lyle Gifford, 1907-1982",Unidentified flying objects,TL,Category: Science - Earth/Agricultural/Farming; Category: Psychiatry/Psychology
66640,Text,2021-11-01,Illustrations of the Croton Aqueduct,en,"Tower, F. B. (Fayette Bartholomew), 1817-1857",Croton Aqueduct (N.Y.),TD,Category: History - American; Category: Engineering & Technology
66641,Text,2021-11-01,A Detailed Account of the Battle of Austerlitz,en,"Stutterheim, Karl von, 1774-1811; Napoleon I, Emperor of the French, 1769-1821 [Contributor]; Pine Coffin, John, 1778-1830 [Translator]","Austerlitz, Battle of, Czech Republic, 1805",DC,Category: History - European; Category: History - Modern (1750+); Category: History - Warfare
66642,Text,2021-11-01,Erään perheen tarina,fi,"Collins, Wilkie, 1824-1889; Alpi, Eero, 1885-1933 [Translator]",Detective and mystery stories; Husband and wife -- Fiction; Household employees -- Fiction,PR,Category: Novels
66643,Text,2021-11-01,Byliny Book: Hero Tales of Russia,en,"Harrison, Marion Chilton; Stewart, Hugh, Mrs., 1878-1966 [Illustrator]",Legends -- Russia (Federation); Byliny,PZ,"Category: Children & Young Adult Reading; Category: Mythology, Legends & Folklore; Category: Russian Literature"
66644,Text,2021-11-01,The Origin and Ideals of the Modern School,en,"Ferrer Guardia, Francisco, 1859-1909; McCabe, Joseph, 1867-1955 [Translator]","Escuela moderna (Hospitalet de Llobregat, Spain); Education -- Spain",LA,Category: History - Modern (1750+); Category: Teaching & Education
66645,Text,2021-11-01,La neuvaine de Colette,fr,"Schultz, Jeanne, 1862-1910",Young women -- France -- Fiction,PQ,Category: Novels; Category: French Literature
66646,Text,2021-11-01,Es Percipi,en,"Marlowe, Stephen, 1928-2008; Terry, W. E., 1921-1992 [Illustrator]",Science fiction; Human-alien encounters -- Fiction; Identity -- Fiction; Technology -- Fiction; Diplomats -- Fiction; Earth (Planet) -- Fiction,PS,Category: Science-Fiction & Fantasy; Category: Novels
